id,header_review,ulasan,label
126,Ada Bercak Noda,Untuk kedepannya harus diperhatikan barang sebelum dikirim.,1
127,Warna Tdk Sesuai Pesanan.Spiker Rusak 1 Bh,Sy pesan warna hitam 2 .gold 1.pink 1. Trus 1 bh spikernya rusak,0
128,Isi Ya Foto Copyan,isi ya foto copyan... kurang jelas!!,0
129,"Respon Lama Sekali ,Kecewa","Respon lama sekali ,kecewa sdh bayar dua hari chat tdk ada balasan sama sekali",0
130,Respon Cepat Brg Sesui Hrg,respon cepat brg sesui hrg,1
131,Topppo,Walau ga sengaja beli ya lumayan lah buat gaya2an,1
132,Anak Senang,anak senang,1
133,"Bagus, Sesuai Harga","Bagus, sesuai harga ",1
134,Sesuai,Barang sesuai pesanan dan sesuai dengan gambar,1
135,Barang Sesuai Mantapp,Recommended sesuai pesanan mantappp,1
136,Kren Jakeg Nya,kren jakeg nya,1
137,Sippo,sippo,1
138,Barang Tidak Sesuai Permintaan,"Barang tidak sesuai pesanan, respon chat yang lama, ketika sudah transfer respon chat lama bahkan hanya dibaca tidak dibalas, lalu ketika barang saya terima ternyata tidak sesuai pesanan",0
139,Recomended Best Seller,Barang top markotop sesuai deskripsi.. semoga usaha nya di lancarkan banyak orderan nya,1
140,Bagus,Bagus dan reapon cepat....terima kasih banyak.......,1
141,Bagus Murah Tpi Bagus,"Saya suka dengan barang nya makasih gan tapi bloetooth nya putus""",1
142,Dpet Harga Flashsale,Lumayan buat tidur...dapet harga fs pula 10k...,1
143,Mantap Pokok E,mantap pokok e,1
144,Kerenn!!,Makasih kak sudah sampai barangnya terimakasih,1
145,Kipas Otg,Kencang thx gan..........................,1
146,Lumayan Lah,Lumayan lah.. hehehe...tp kurang suka.. coba kalo diusahakan dibikin lebih mirip lagi dengan yang dipakai model :) ,1
147,Biasa Aja,Barangnya tdk sesuai pesanan warna tdk sesuai gambar,1
148,Keren,Sepatu slip on oke keren murah meriah barang bagus gak murahan,1
149,Sendal Sepatu Weges,Bahan dan gambar sesuai sm aslinya..mksh ya gan,1
150,Barang Lumayan Bagus Dengan Harga Yang Relative Murah.....,Barang lumayan bagus dengan harga yang relative murah.....,1
151,Cepat,"Cepat sampai, bahannya sesuai harga flashdeal 10.000",1
152,"Bagus, Sesuai Foto","Bagus, sesuai foto",1
153,"Maaf Baru Konfirmasi, Baru Pulang Kerja.","Barang mantap bos, seller ok rekomended pokonamah",1
154,Barang Sudah Sampai Sesuai Pesanan,Mantap barang sesuai harapan kami sekeluarga,1
155,Dompet Gantungan Koin Boneka,Bagus banget...-- suka..makasih...,1
156,Barang  Dah Sampai Dan Bgs..Mksih,barang  dah sampai dan bgs..mksih,1
157,"Cocok Namun Akan Lebih Baik Apabila Bonus Ditambah",cocok,1
158,Celana Go Intermilan,Bahan lumayan tapi salah kirim ukuran,1
159,Keren,Respon cepat dan packing bagus,1
160,Keren,"Pesanan sesuai, keren, mantap keren sepatunya",1
161,Produk Bagus,Kualitas LCD nya bagus seperti aslinya. warna jenih dan terang padahal dipasang sendiri. Recommended Seller ....,1
162,Kondisi Barang Baik Tanpa Cacat,Semua sukaaaaaa ................,1
163,Sangat Kecewa,1.penjual tdk jawab chat,0
164,Makasih Kak Barang Udh Diterima,makasih kak barang udh diterima,1
165,Bahannya Agak Tipis Tapi Sesuailan Dengan Harga,Bahannya agak tipis tapi sesuailan dengan harga,1
166,Top,Cuma agak lama aja nunggu ya barang y ok,1
167,Sip,"Ok punya dah, recommended seller lah...........................",1
168,Puas,"Alhmdullh saya punya pendapatan tambahan di bukalapak, tolong dong harga nya d turunin semua produk",1
169,Dapat Harga Flash Sale,dapat harga flash sale 1rb gratis ongkir.,1
170,Bagus Bgt,Produk sangat baik,1
171,Barang Sesuai Pesanan,Saya suka packing bagus barang sesuai pesanan,1
172,Oke,Barang sudah sampai thanks seller,1
173,Sesuai Pesanan,"Kasih bintang 3 dulu karna belum coba lama, Semoga awet yah",1
174,Biasa Saja,praktis,1
175,Tas,Barang sudah di terima tapi Respon pesanan kurang cepat,0
176,Ok,"Oke oke okeokeokeokeokeoke,......................,....,....",1
177,Cukup Baik,Pesennya warna pink/kuning/navy tapi malah yg nyampe ungu dan sptnya ukurannya agak kecil. Tapi barang cepet nyampe,1
178,Bagusss,Sesuai pesenan bagus semoga sukses,1
179,Six Pack Care,"walaupun barangnya masih terpisah tenyata penyusunannya sangat mudah, barang bagus tanpa cacat, semoga perut buncit saya segera hilang, mantappp",1
180,Lumayan Laah..,Sesuai sama hrga laah..,1
181,"Barang Komplit Sesuai Deskripsi, Tapi Belum Saya Play..","Barang komplit sesuai deskripsi, tapi belum saya play..",1
182,Mantap,"Pembelian ke 3, joss mantappppppppppppppppp",1
183,Harga Murah Tapi Barang G Mengecewakan,"harga murah tapi barang g mengecewakan,,hanya saja pengiriman agak lama",1
184,"Enak Dipakai, Adem, Sesuai Gambar","Recommanded saller, biarlah Bintang yg Bicara",1
185,Good,Barang rapih luar dalam mantapppp,1
186,Agak Telat Pengirimanya,Agak telat pengirimanya tapi gapapa,1
187,Bagus,isi nya A smua mohon lain kali di cek dl sblum di packing mo return mals,1
188,Kecewa,"Tidak sesuai dengan pesanan, memesan dengan warna apa d kirimnya apa.",0
189,Barang Sudah Sampai Dengan Selamat Dan Cepat,Barang sudah sampai dengan selamat dan cepat...sesuai juga barangnya dng yg ada di foto. Thx Pusat Fashion Slimfit thx Bukalapak....,1
190,Lama Sampai,lama sampai,1
191,Puas,Sesuai gambar,1
192,Cukup Memuaskan,"Barangnya lumayan bagus,sesuai dengan harga segitu...",1
193,Bagus,"Sesuai sama Harga, semoga awet",1
194,Langsung Coba Langsung Yess,Langsung di coba buat karaoke anak suka.  Sipp...,1
195,Ok Oce Sip,Terimakasih untuk barangnya sudah sampai,1
196,Komplain,"Sepatu ga seauai gambar, sepatu yg dipesen kebesaran",0
197,Flash Sale10rb,"Dapet 10rb, ongkir 9rb, wkwkw keren laah..BL ditunggu lagi flash sale 10rb nya",1
198,Vggggggghhhhh,vggggggghhhhh,1
199,Bagus,Siiiiiiiiiiiiiiiiiiipppppppppppppppp,1
200,"Bagus Namun Akan Lebih Baik Apabila Mantab",bagus,1
201,Mntapp Kerennn,barang sesuai pesenan baguss okeee eeeee,1
202,Thank U Walau Keliru,Terima kasih barang sudah diterima,1
203,Tidak Seperti Yg Diharapkan,Diluar ekspektasi saya.. barang kurang memuaskan..,1
204,Bagus,"Tepat waktu,sesuai dengan pesanan,paking rapih",1
205,Baik,Barang sesuai pesanan tpi lama sampai,1
206,Barang Sesuai Pesanan,Packing baik dan saya dapat warna hijau.. Terimakasih,1
207,Rekomendasi,rekomendasi,1
208,Barang Sesuai,baguss barang nya sesuai pesanan,1
209,Barang Sampai Cepat & Rapi....,Barang sampai cepat & Rapi....,1
210,Barang Bagus,"Suka dgn boxer nyny, size L ny agak kecil, tp msh bsa d pke",1
211,Oke,Yang paket warna salem orang gendut,1
212,Mantap Sesuai Gambar Gan....,Bahannya enak. Di pakai gannnnnnnnnnnnnnnnnnn,1
213,"Sukses Namun Akan Lebih Baik Apabila Tepat Waktu Pngriman",sukses,1
214,Mbak,"Mbak, barangnya udah nyampe ya..  Packing nya bgs, kondisi barang aman.. Makasih ya...  ",1
215,Jeans Mantap,"Untuk Jeansnya sendiri mantap, pas dikaki jadi ga perlu dipotong. Untuk model tapi kantong belakangnya terlalu panjang. Dan beberapa jeans yang saya punya, cuma satu kantong aja baiknya. Modelnya jadi lebih simple",1
216,Top,Barang sesuai dan packing bagus. Waktu pengiriman juga relatif singkat. Recomended,1
217,Bagus. Berfungsi Dengan Baik.,bagus. berfungsi dengan baik. ,1
218,"Kualitas Kurang Baik,",Screen guard dipasang tidak dapat terpasang merekat secara sempurna terdapat buble air padahal sudah dipasang secara benar,0
219,Lumayan Bagus,"Lumayan bagus, pelapak bagus , jasa pengirimannya yg jelek J & t sampe saya jemput sendiri saking lamanya, alesannya pengirim areanya gak ada.....salah pilih jasa pengiriman intinya.",1
220,"Bhn Bgs,  Murah Meriah, Tks","Bhn bgs,  murah meriah, tks",1
221,Bagus,"Bagus ,saya suka mana dpt flash deal ,Alhamdulillah",1
222,Lama Sampai,Lama sampai........................,1
223,Sudah Di Tes,sudah di tes..semua aman lancar..powervu autoroll ga pake lama..sipp.,1
224,Barang Bagus,Barang bagus sesuai pesanan dan ori,1
225,Ok,Good cuma ada yg sobek dikit gan,1
226,"Keren,..Makasi","keren,..makasi",1
227,Mntap Bagus Maknyos,Mntap bagus maknyos,1
228,Barang Bagus Untuk Kesehatan,"Barang bagus untuk kesehatan, sesuai pesanan, pelapak jujur, recoment seller",1
229,Lumayannn Oke,lumayannn oke,1
230,Terima Kasih,Barang sudah sampai sesuai pesanan,1
231,Alhamdulillah Sesuai Pesanana,alhamdulillah sesuai pesanana,1
232,Arang Cepat Sampai,Barang cepat sampai dan sesuai dg pesanan,1
233,Kualitasnya Mantapps,"kualitasnya mantapps,sesuai sama pesanan saya fungsi nya nyaman di pakai tapi sayang barang sampai nya lama ",1
234,Barang Yang Layak Untuk Dibeli,dengan mic ini kualitas audi jadi lebih bagus. terima kasih,1
235,Kurang Elastis,kurang elastis. mending yg bahan spandex,1
236,Keren Seperti Kacamata Pada Umumnya,"keren seperti kacamata pada umumnya, waktu saya pake org2 malah kira saya Afgan... piss :) pokoknya keren",1
237,Bagus Cuma Coilnya Ga Ada,bagus cuma coilnya ga ada,1
238,Bagus,Bagus bagus,1
239,Barang Sesuai Pesanan,Barang pas di buka ternyata ada yang copot,1
240,Menarik,menarik,1
241,Bahannya Bagus,Tapi celana sama bajunya ngatung mungkin harus ukuran di badan saya XXL hihi,1
242,Barang Sesuai Gambar,barang sesuai gambar,1
243,Puas,Sesuai orderrrrrrrrrrrrrrrrrrrrrrrrrrran bagussssssdddd,1
244,Feedback Untuk Pembelian Wakai Women Kachiiro Blue,Bagusss. Next mau order lg deh. Thanks yah.,1
245,Baguss,Barang sesuai harga. Cepet sampai,1
246,Testimoni,Kualitas gambar baik dan cukup membantu dalam melakukan tugas tersembunyi.,1
247,Kualitas Bad,"kualitas bad, gasesuai deskripsi. cuman packingnya yang bagus",0
248,Mantap,Mantap ,1
249,Mksh Ka Ordr Ke 2x Nyaaa Cus Aq Lagi2 Puasss,mksh ka ordr ke 2x nyaaa cus aq lagi2 puasss,1
250,Pesanan Sampai,"Barang sesuai pesanan, Packing rapi",1
251,Jaket Parka Wanita,lebih bagus aslinya daripada gambarnya.. okey seplah,1
252,Raket Yonex Senar Dewasa Murah,"Barang bagus,pengiriman tepat waktu, semoga awet",1
253,Recoment Seller,Bahan bagus tebal harga lumayan miring,1
254,"L Nya Kayak Kurang Panjang, Tp Masih Ok","L nya kayak kurang panjang, tp masih ok",1
255,Tombol Ada Yang G Fungsi Dan Tidak Koneksi Dengan Bluetooth,Tombol tidak berfungsi dan tidak konek dengan bluetooth,0
256,Biasa Aja...,biasa aja...,1
257,Oke,Barang original dan brfungsibrfungsi... Hnya kurirny yg lama,1
258,Bagus,"Kualitas okok, dan sesuai dengan pesanan yg saya mau",1
259,Berfungsi,berfungsi ,1
260,"Ok Namun Akan Lebih Baik Apabila Cepat",ok,0
261,Lumayan Baguslah Utk Harga Segitu ,Lumayan baguslah utk harga segitu ..tp LBH bagus LG klo diksh tahu itu bahan nya apa,1
262,Warna Gx Sesuai Pesanan,"warna gx sesuai pesanan,, pdahal w psen warna yg kata seler ready",0
263,Kaos,"Klo bintang bisa ngomong, biar bintang yg berbicara",1
264,Bahan Tipis Tidak Sesuai Pict.,Bahannya tipis bgt beda sama di gmbr. akan lebih baik bila di tingkatkan lagi produknya.,0
265,Bagus,Bahan baju nya Lumayan.. Saya suka.. Bagus Deh,1
266,Sudah Oke,sesuai pesanan ~ sipsipsipsipsipsipsipsipsipsipsipsip,1
267,Sesuai Pesanan,barang sesuai pesanan.. ntar langsung test buat cuci muka.. :),1
268,Sarung Lengan Tangan,"Packing baik, respont cepat....",1
269,Mantap,Sesuai gambar sesuai pesanan peroses cepat.,1
270,Recommended Seller,Packing rapi dan cepat sampai. Barang sesuai pesanan,1
271,Alhmdllah Pesanan Sdh Sampai,Alhmdllah pesanan sdh sampai.. Mudah2an kualitasnya memuaskan,1
272,Sesuai Kok,sesuai kok,1
273,Barang Oke,"Barang oke, terbangnya oke juga cuma udah saya kasih note warna merah atau biru malah dikirimnya warna kuning",1
274,Barang Dah Nyampe Mb...Mksh,barang dah nyampe mb...mksh,1
275,"Saya Suka Namun Akan Lebih Baik Apabila Tdak Ada",saya suka,1
276,Sesuai Gambar,Sesuai Gambar,1
277,Bagus,"Kecil kecil cabe rawit, packing baik, seller lgsung proses",1
278,Size,"Kekecilaaan, mungkin yg bb nya 55-60an ga agak ngetat dan pendek",1
279,Jelek,Biar bintang yg menilai ,0
280,Kualitas Bagus,"kualitas bagus, tebal, pengiriman cepat, ukuran sesuai .. saya rekomendasikan untuk anak-anak pendaki. (karena bahannya tebal cukup lumayan untuk mwmbantu menahan dingin standar guntur, papandayan)",1
281,Top,"Sampai dengan aman, paking sip...",1
282,Gituqwetybs,gituqwetybs,1
283,Mantap,"Selalu aktif jadi kalau mau tanya tanya selalu di respon, barang juga sesuai pesenan, mantep pokoknya dah",1
284,"Yy Namun Akan Lebih Baik Apabila Ooo",yy,1
285,Barang Dan Packing Rapi,barang dan packing rapi,1
286,Sesuai Yg Diminta,"kirim cepat, repon cepat mantaaaaap",1
287,"Barang Belum Saya Coba Namun Akan Lebih Baik Apabila  ....",barang belum saya coba,1
288,Barang Sesuai Dan Packing Bagus,"barang sesuai dan packing bagus, sayang krn klamaan transit barang pas nyampe daunnya banyak rontok. semoga bisa hidup subur",1
289,"Mantappppp Tanpa Aplikasii Langsung Nyambung,",Pengiriman y lelet JNT payahhh,1
290,Tas Pinggang Army Pria,Sesuai dengan foto dan proses cepat,1
291,"Barangnya Bagus Sesuai Deskripsi ,Puas Banget","Barangnya bagus,sesuai keinginan,tidak mengecewakan",1
292,Bintang Yg Brbicara,bintang yg brbicara,1
293,Nice,Thank you. Sangat puas gan dengan paketannya,1
294,Bagus,hanya gunting kuku yg miring kgak rata ujungnya  jdi kgak kepakai ...tajam gunting kukunya hanya kgak rata saja ,1
295,Respon Chat Lambat,Tidak sesuai dengan apa yang saya mau,1
296,Daster,"Untuk harga segitu,, barang cukup bagus...",1
297,Kereeeeeennnn,Sesuai dengan gambar maaaantaaab,1
298,Bagus,"Walopun warna yg dtg tdk sesuai harapan, tapi tetep suka ama bentuknyaa yg simple.. Makasih",1
299,Suka Bngt,"Lumayan bagus tapi ngpress sama badan kurang gde dikit,tapi goooddd",1
300,Insya Allah Sesuai,Insya Allah sesuai,1
301,Mantul (Mantap Betul),Mantaaaaaaaaaaap jiiiwwwwwwwwaaaaaaa dechhhh,1
302,Bagus,"Ternyata kebesaran bajunya . Packing bagus , good kualitas",1
303,Topi,Keren.. ,1
304,Amanah...,Barang sesuai pesanan,1
305,Kualitas Sesuai Deskripsi,kualitas sesuai deskripsi,1
306,No Good,"Barang yg tak layak dijual seluruh permukaan terdapat bentol"" gtu,  tdk mulus",0
307,Good Seller,"Pelayanan luarbiasa, cuma blm sya buka apkah sesuai apa ga....ksluruhan very good",1
308,"Kualitas Baik,Pengiriman Cpt.","kualitas baik,pengiriman cpt.",1
309,Bagussssss,Bagus respont cepat dan ramahhhh,1
310,Mantab,Rekomended sellr,1
311,Packing Lama ,packing lama !! Chat gak di bales bales !! tapi lumayan bagus hasilnya gan :^-^,1
312,Kecewa Dengan Kwalitas Barang,kwalitas barang rongsokan parah !!!!!!!,0
313,Sangat Baik,"Packing baik, cepat sampai.. puassss banget..",1
314,Berfungsi Baik,Brang berfungsi dengan baik semoga awet...thanks,1
315,Biasa Saja,aduh yg beli complen bagus yg digambar semoga next yg beli tidak kapok,1
316,"Belum Dicoba,Mudah2an Awet,Overall Cukup Baik","belum dicoba,mudah2an awet,overall cukup baik",1
317,Bagus,"Barang sesuai pesanan, dan sesuai dengan yang saya inginkan",1
318,Softlens,Sudah diterima. Sesuai pesanan. Packing rapih...terimakasih,1
319,Thank's Barang Sudah Sampai...,thank&apos;s barang sudah sampai...,1
320,Beli Pb,"Fast respon chat, brg cepet sampai",1
321,Murmermew (Murah Meriah Mewah),murmermew (murah meriah mewah),1
322,Penipu,Buka lapak penipu barang tdk sesuai poto ukuran jg dibilang XL besar eh yg dikirim baju bayi gmn jadi nya,0
323,Kabel Mhl,Barang sesuai pesanan n pas d cb sesuai,1
324,Keren,Cocok sesuai harga dan kwalitas,1
325,Sesuai Pesanan,Sesuai pesanan. Terimakasih bukalapak,1
326,Sesui Harga,lama nunggu datang juga barang ku,1
327,Lumayan Buat Ganti2,lumayan buat ganti2,1
328,Bagus,bagus,1
329,Pas,pas,1
330,Sesua Dengan Deskripsi,sesua dengan deskripsi,1
331,Mantap,Bagus bungkus rapi,1
